intensidad_media,mediana,desviacion_std,varianza,asimetria,curtosis,p10,p90,rango,homogeneidad,energia,contraste,correlacion,entropia,lbp_entropia,lbp_energia,area,circularidad,compacidad,solidez,excentricidad,extension,Clase
0.293508,0.2784314,0.1296524,0.01680974,1.389556,7.692455,0.145098,0.4509804,0.3058824,0.9598056,0.2955175,0.2042374,0.9520284,6.81722,2.542365,0.2109673,17079,0.771468,1.29623,0.9684718,0.8554781,0.7933389,1
0.1129065,0.07843138,0.123291,0.01520068,1.935916,8.827124,0.003921569,0.2588235,0.254902,0.9851809,0.4449292,0.07130108,0.9895308,6.033064,2.703376,0.1802586,96144,0.8138127,1.228784,0.9218909,0.7484583,0.669993,2
0.1499609,0.1254902,0.1136523,0.01291686,4.220183,23.69172,0.07843138,0.2117647,0.1333333,0.9623464,0.5137025,0.4366018,0.9288201,5.731259,2.930119,0.1496758,4995,0.945001,1.0582,0.9706568,0.5620143,0.7446333,2
0.04992129,0.01574803,0.08480859,0.007192496,3.938387,23.29861,0.01181102,0.1299213,0.1181102,0.9898709,0.5685868,0.09481726,0.9840689,4.175357,2.456969,0.2459386,115168,0.845194,1.18316,0.96814,0.7982499,0.7505784,2
0.2799631,0.282353,0.120397,0.01449544,0.1729932,2.756732,0.1137255,0.4352941,0.3215686,0.9727733,0.3140303,0.1266097,0.9779509,6.937982,2.771072,0.1774235,68194,0.4922256,2.031589,0.8537163,0.8187495,0.5887421,3
0.07959695,0.04761905,0.09943696,0.009887709,3.652641,21.90834,0.01428571,0.1857143,0.1714286,0.9849061,0.5403866,0.1324125,0.9783566,5.18891,2.576504,0.2134341,41888,0.9387661,1.065228,0.9922069,0.7162002,0.7398223,2
0.4161461,0.4071146,0.1435079,0.02059451,0.2678679,2.55181,0.2332016,0.6126482,0.3794466,0.9566936,0.2703081,0.1726706,0.9544312,7.183159,2.702008,0.1898619,33303,0.8641409,1.157219,0.9876921,0.8147722,0.7197847,2
0.3316158,0.3137255,0.1470555,0.02162532,0.751365,3.866836,0.1529412,0.5333334,0.3803922,0.9598294,0.2566664,0.1687133,0.962636,7.133335,2.875656,0.1579664,77113,0.8244393,1.212945,0.964021,0.6628496,0.7423277,2
0.237454,0.2196078,0.1221701,0.01492553,1.621262,7.725718,0.1098039,0.3882353,0.2784314,0.9614593,0.2948805,0.1377668,0.9742664,6.77689,2.714821,0.1863814,52716,0.9135107,1.094678,0.9736798,0.7216415,0.7419459,2
0.4315258,0.4051724,0.1812109,0.03283739,0.3178336,2.041803,0.2198276,0.6896552,0.4698276,0.9439471,0.2236503,0.2430446,0.9420418,7.247462,2.620002,0.20236,11502,0.8559733,1.168261,0.9570644,0.6271101,0.6687598,2
0.1951091,0.1735537,0.09727867,0.00946314,1.941801,8.649632,0.1033058,0.3016529,0.1983471,0.9631937,0.419301,0.1413715,0.9715573,6.278218,2.762642,0.1764719,71714,0.9108797,1.09784,0.9688986,0.508067,0.7971942,2
0.1973804,0.1647059,0.1211013,0.01466554,0.9342452,3.517426,0.06666667,0.3686275,0.3019608,0.9817187,0.3416371,0.1255559,0.9790252,6.715078,2.804404,0.1665169,57613,0.8616574,1.160554,0.9597688,0.7245829,0.7014513,2
0.2529428,0.2113821,0.194237,0.037728,0.7732174,2.687916,0.04878049,0.5569106,0.5081301,0.9781199,0.2936722,0.1076604,0.9826621,7.148682,2.753952,0.175166,137329,0.5575932,1.793422,0.8261981,0.6417964,0.5970826,2
0.3088477,0.296748,0.09384628,0.008807125,1.868914,10.2254,0.2154472,0.402439,0.1869919,0.9609561,0.3530391,0.15824,0.964883,6.323926,2.712851,0.1881973,27325,0.9519367,1.05049,0.9876744,0.6456261,0.7007489,2
0.1941976,0.09803922,0.2272253,0.05163135,1.578643,5.547507,0.007843138,0.4627451,0.454902,0.9848652,0.3236025,0.05366943,0.9914153,6.545836,2.60446,0.2042035,235323,0.7398445,1.351635,0.9319169,0.7239376,0.6795723,2
0.1467192,0.07058824,0.2083737,0.04341958,2.379693,8.359427,0.01176471,0.4117647,0.4,0.979796,0.4197528,0.07929187,0.9879206,6.228582,2.6515,0.1934573,107860,0.8837929,1.131487,0.9632249,0.7417082,0.6988648,2
0.1929586,0.184,0.07125241,0.005076906,1.934089,13.37034,0.12,0.272,0.152,0.9694914,0.4500652,0.1684108,0.9678023,5.987805,2.79143,0.1710116,41877,0.8523344,1.173248,0.9844841,0.803933,0.7836851,2
0.05650492,0.02419355,0.09101839,0.008284346,4.162699,26.3466,0.008064516,0.141129,0.1330645,0.9879611,0.5974054,0.1335772,0.9755226,4.947662,2.330102,0.2734475,57643,0.9853109,1.014908,0.9908382,0.3633468,0.7820241,2
